tic,Tmag,Teff,rad,sde,period,t0,depth_ppm,duration_hr,n_transits,rp_earth,oddeven_sigma,secondary_sigma,verdict
231907750,13.9288,3151.0,0.352398,16.83,0.75844,4180.43928,1986.4,3.6,30,1.72,1.17,1.51,CANDIDATE
394134586,10.2819,3461.0,0.352722,3.19,11.32777,4181.88311,6739.7,0.72,3,3.16,11.71,-0.4,no_signal
326414365,13.5909,3294.0,0.355211,15.44,0.67875,4179.42168,9986.0,3.6,35,3.88,1.4,2.96,CANDIDATE
150542444,13.2871,3368.0,0.356591,4.42,0.65094,4179.34681,5289.7,1.44,36,2.83,1.37,0.63,no_signal
355706079,13.8283,3352.0,0.356843,7.83,0.64625,4179.98216,2788.4,3.6,35,2.06,0.05,-6.65,no_signal
425938795,12.138,3310.0,0.356976,3.93,6.79922,4184.44693,5638.4,3.6,2,2.93,0.0,-1.21,no_signal
111733066,13.6194,3352.0,0.357799,4.19,1.54315,4179.98275,20532.8,0.72,15,5.6,0.95,1.29,no_signal
382416096,13.642,3339.0,0.357818,4.97,9.89773,4186.05619,5002.1,1.44,2,2.76,0.95,0.51,no_signal
122505769,12.5398,3204.0,0.358127,7.46,0.73438,4180.54339,1025.4,3.6,29,1.25,0.81,2.34,no_signal
61211640,12.4456,3639.0,0.358399,4.92,6.0092,4179.49771,1354.3,2.38,4,1.44,1.31,0.73,no_signal
424940697,10.3593,3345.0,0.359483,5.6,8.03769,4180.4086,686.4,1.44,4,1.03,0.16,0.24,no_signal
74188694,10.0771,3352.0,0.359816,3.57,9.86461,4184.82581,3043.2,0.72,3,2.17,5.99,0.76,no_signal
201730394,13.21,3346.0,0.360079,23.99,0.68,4179.88902,7311.7,3.6,33,3.36,0.07,25.66,eclipsing_binary_secondary
410213494,12.6627,3157.0,0.360781,16.53,0.88876,4180.00895,4055.5,3.6,26,2.51,0.13,17.56,eclipsing_binary_secondary
372442179,12.7162,3236.0,0.361688,15.04,0.73626,4179.61638,1840.5,3.6,30,1.69,1.45,4.96,CANDIDATE
229807051,12.5024,3164.0,0.362244,5.65,8.18207,4182.00313,2609.7,2.38,3,2.02,0.66,-0.41,no_signal
206358152,12.3284,3297.0,0.362758,12.71,0.51313,4179.93283,386.4,3.6,45,0.78,0.85,-2.49,CANDIDATE
216969561,13.6044,3375.0,0.363425,12.66,0.69063,4179.92538,41557.4,0.72,33,8.09,1.18,-14.81,CANDIDATE
394417221,12.5272,3142.0,0.363484,23.65,0.665,4180.01362,7395.7,3.6,33,3.41,1.49,1.15,CANDIDATE
55164463,13.8062,3431.0,0.363618,4.07,12.19435,4180.21963,44678.9,0.72,2,8.39,0.0,0.81,no_signal
231632372,12.6679,3162.0,0.364566,30.45,0.56,4179.69227,11468.3,3.6,41,4.26,2.82,-38.48,CANDIDATE
261283885,11.6224,3300.0,0.365184,22.38,0.77626,4179.74464,16987.9,3.6,30,5.2,0.07,24.87,eclipsing_binary_secondary
354606420,11.8718,3325.0,0.365383,5.86,9.0774,4188.80439,2845.7,2.38,2,2.13,1.14,0.8,no_signal
120242676,11.4595,3579.0,0.365609,4.68,5.95764,4181.75766,1393.2,0.72,4,1.49,2.06,-0.56,no_signal
406115587,12.9587,3342.0,0.366722,5.09,7.02954,4182.75532,2607.4,1.44,4,2.04,0.87,-0.62,no_signal
370016739,13.3831,3345.0,0.368192,5.54,2.49224,4180.27478,3586.8,0.72,9,2.41,0.22,-1.48,no_signal
41993553,13.955,3312.0,0.368425,8.26,0.78782,4180.29035,4416.3,3.6,28,2.67,1.93,-1.97,CANDIDATE
122521867,13.0794,3381.0,0.369184,4.43,5.70263,4184.20367,2275.3,3.6,4,1.92,1.09,-0.62,no_signal
158596311,12.28,3159.0,0.369625,22.85,0.61813,4180.28154,6638.6,1.44,36,3.29,0.17,17.52,eclipsing_binary_secondary
197963243,11.5884,3409.0,0.369827,3.86,12.08373,4179.88031,2023.9,0.72,2,1.82,0.0,-0.55,no_signal
146636926,11.4694,3334.0,0.370471,4.42,8.89146,4186.41338,4501.6,3.6,3,2.71,3.72,-1.36,no_signal
259938968,13.4497,3447.0,0.370678,5.6,5.16824,4183.04876,18206.8,1.44,5,5.46,0.75,-1.61,no_signal
161175802,13.0752,3266.0,0.371918,6.54,2.3863,4180.06943,2727.3,0.72,10,2.12,0.63,0.59,no_signal
122555956,13.3428,3264.0,0.372376,5.13,4.35666,4180.46868,4508.1,0.72,6,2.73,0.67,-0.03,no_signal
229141941,12.2161,3278.0,0.372439,5.71,1.62909,4181.48661,1189.9,2.38,13,1.4,1.07,0.37,no_signal
281596686,12.8098,3311.0,0.372616,5.03,3.24413,4181.3181,1890.1,0.72,7,1.77,1.59,-0.33,no_signal
355601331,12.2775,3337.0,0.37397,5.9,3.98384,4181.20983,1701.5,0.72,6,1.68,1.22,0.33,no_signal
404030766,10.8067,3554.0,0.37466,5.17,1.44846,4179.43866,404.6,0.72,17,0.82,0.73,-0.79,no_signal
261039759,12.927,3397.0,0.374734,5.52,5.76232,4184.29076,10697.0,1.44,4,4.23,0.48,1.39,no_signal
316467276,12.1489,3298.0,0.374764,3.33,6.65672,4184.75667,6333.7,3.6,2,3.26,0.0,0.88,no_signal
139804696,12.5071,3149.0,0.375811,5.54,6.17327,4179.59577,4578.1,3.6,3,2.78,0.85,1.1,no_signal
179678364,11.1698,3484.0,0.376662,4.02,11.81435,4180.88247,3420.8,0.72,2,2.41,0.0,0.43,no_signal
101509239,13.0059,3426.0,0.377346,4.81,4.49072,4181.59834,2974.2,0.72,6,2.25,0.58,-0.14,no_signal
62118520,10.7071,3516.0,0.377366,5.17,0.63282,4179.34275,297.4,0.72,36,0.71,1.39,1.0,no_signal
311403944,10.6327,3429.0,0.377471,4.68,6.27889,4181.81471,775.9,0.72,4,1.15,0.1,-0.67,no_signal
397028897,13.3571,3591.0,0.377546,4.1,6.55671,4184.8973,20061.6,0.72,2,5.84,0.59,0.15,no_signal
234295610,12.5068,3161.0,0.378005,26.68,0.76188,4180.49138,17087.7,2.38,29,5.4,1.13,-5.11,CANDIDATE
90556514,13.3362,3520.0,0.378026,4.22,6.5064,4185.02988,28084.7,0.72,1,6.92,0.0,0.68,no_signal
32399025,11.7707,3421.0,0.378083,4.68,3.0785,4181.99005,1113.5,0.72,7,1.38,0.15,-0.03,no_signal
56505002,13.8979,3400.0,0.37901,21.61,0.75594,4179.31952,38191.3,3.6,31,8.09,0.36,20.57,eclipsing_binary_secondary
97468763,10.7898,3360.0,0.379418,6.54,0.70719,4180.57205,354.1,2.38,32,0.78,1.62,0.26,no_signal
23108331,11.8459,3434.0,0.380568,4.91,4.33291,4182.72428,2643.3,0.72,5,2.14,0.3,-0.91,no_signal
80261924,12.4936,3325.0,0.380817,5.21,6.73078,4186.31286,3161.3,0.72,3,2.34,1.83,0.34,no_signal
100565855,12.8733,3302.0,0.381837,4.53,11.95154,4179.67468,3207.6,3.6,2,2.36,0.0,-0.95,no_signal
121259816,13.8157,3392.0,0.382415,5.8,1.83503,4179.47598,10695.0,0.72,12,4.32,0.42,0.86,no_signal
67584421,13.5553,3454.0,0.384357,5.57,10.95214,4180.76516,6567.6,0.72,2,3.4,0.0,-0.15,no_signal
52572837,13.7245,3430.0,0.385233,5.19,1.76284,4179.87486,9617.5,0.72,14,4.13,0.57,-0.13,no_signal
291319954,12.6572,3469.0,0.385275,5.83,8.0105,4181.72395,5411.7,0.72,3,3.09,0.88,0.74,no_signal
118529448,13.452,3164.0,0.385329,5.83,4.13259,4180.68577,4665.2,0.72,5,2.87,0.06,0.49,no_signal
329267338,13.7686,3423.0,0.385437,4.44,6.53203,4185.02886,136665.8,0.72,1,15.56,0.0,0.76,no_signal
340785960,13.4945,3547.0,0.386731,5.21,6.08139,4182.58877,4933.6,0.72,4,2.97,0.53,0.74,no_signal
213159592,13.9763,3147.0,0.386853,10.92,0.93939,4179.61976,5625.8,3.6,25,3.17,0.26,2.13,CANDIDATE
182230190,13.3027,3422.0,0.387246,3.73,10.81276,4180.48947,6962.5,1.44,2,3.53,0.0,-1.49,no_signal
382469629,11.7587,3539.0,0.387578,3.71,12.48967,4179.54151,237920.5,1.44,2,20.64,0.0,2.37,no_signal
291319960,12.6495,3465.0,0.387663,5.62,8.0105,4181.72395,5038.8,0.72,3,3.0,0.46,0.88,no_signal
406240485,12.5356,3149.0,0.38814,4.08,6.45359,4180.56545,2293.6,3.6,3,2.03,1.1,-1.33,no_signal
278658834,13.0983,3259.0,0.388818,15.98,0.93814,4179.92388,3461.7,3.6,24,2.5,0.55,7.26,eclipsing_binary_secondary
464518474,13.5925,3237.0,0.389282,4.19,0.555,4180.11792,851.5,3.6,41,1.24,0.14,-0.46,no_signal
146284309,13.9659,3452.0,0.389805,4.72,11.58684,4191.45752,104420.8,1.44,2,13.76,0.0,0.68,no_signal
17399504,13.7656,3070.0,0.390278,20.35,0.61563,4179.67402,6096.1,3.6,37,3.33,1.74,-5.45,CANDIDATE
355509155,11.6867,3286.0,0.390586,3.99,6.70609,4185.76323,1204.1,2.38,2,1.48,0.0,0.75,no_signal
23596779,13.5887,3453.0,0.391892,3.45,8.84396,4186.89389,27133.9,0.72,3,7.05,2.06,0.93,no_signal
59675401,13.485,3221.0,0.394561,4.87,6.40171,4185.33611,21108.1,2.38,2,6.26,0.08,-1.71,no_signal
231620211,13.1057,3299.0,0.394601,6.01,10.83463,4186.77986,4067.5,2.38,2,2.75,0.07,-1.28,no_signal
143514367,12.7135,3506.0,0.394983,4.51,11.99091,4191.0461,7673.7,1.44,2,3.78,2.62,1.02,no_signal
96749610,13.6926,3334.0,0.39523,4.56,6.5264,4185.03004,97178.3,0.72,2,13.45,3.4,0.55,no_signal
308227026,13.5487,3454.0,0.395592,5.93,11.66403,4181.80953,4485.1,2.38,2,2.89,0.44,-0.26,no_signal
41862291,12.4293,3412.0,0.395788,4.72,1.5269,4179.98851,1039.4,0.72,16,1.39,0.59,-0.36,no_signal
129765327,13.3548,3383.0,0.395789,5.11,7.95237,4185.9831,5932.3,0.72,3,3.33,2.3,-0.83,no_signal
270314550,12.2387,3458.0,0.396315,5.61,4.70292,4183.58856,2615.9,0.72,4,2.21,1.66,-0.73,no_signal
7315511,13.2834,3692.0,0.396893,6.55,0.8747,4180.90247,2969.4,0.72,25,2.36,0.68,-0.97,no_signal
326599544,13.8949,3265.0,0.396972,23.07,0.73626,4179.89721,9713.8,3.6,31,4.27,1.45,-6.23,CANDIDATE
115319926,13.3633,3423.0,0.39801,4.51,10.29524,4184.75358,6815.6,0.72,2,3.59,1.03,-0.22,no_signal
102071750,12.0482,3268.0,0.400067,6.57,0.72626,4180.60699,1791.3,3.6,31,1.85,1.85,-10.88,no_signal
155897369,10.3184,3568.0,0.401233,6.4,4.81073,4181.97271,484.4,1.44,4,0.96,0.2,-0.14,no_signal
303921057,12.8892,3452.0,0.402247,3.69,8.26176,4179.59088,2721.9,2.38,4,2.29,1.42,-1.02,no_signal
260754594,13.2426,3293.0,0.402483,7.24,0.56531,4180.15401,783.1,3.6,40,1.23,0.93,-0.23,no_signal
219993473,12.2209,3132.0,0.402548,13.36,0.69875,4180.66781,1219.6,3.6,31,1.54,1.01,-11.46,CANDIDATE
120334442,12.4769,3139.0,0.402555,14.62,0.76876,4179.94894,5068.8,3.6,30,3.13,0.37,8.54,eclipsing_binary_secondary
231910539,12.069,3179.0,0.402849,31.74,0.55031,4180.18966,6444.5,3.6,41,3.53,0.93,-3.95,CANDIDATE
270314548,12.1782,3464.0,0.403072,4.96,7.37923,4183.59156,2915.2,0.72,3,2.38,0.25,-0.35,no_signal
60893065,13.5956,3522.0,0.403431,4.98,11.27121,4179.52062,7171.8,0.72,3,3.73,1.17,-0.45,no_signal
230982053,12.1364,3174.0,0.404185,12.94,0.70876,4179.92295,2642.5,3.6,32,2.27,4.29,-0.59,CANDIDATE
139984208,12.0395,3231.0,0.40496,6.31,0.52438,4179.58659,1513.6,3.6,43,1.72,4.42,-9.58,no_signal
397318031,13.7352,3371.0,0.405794,5.04,9.09396,4186.2112,6593.4,1.44,3,3.6,0.39,-0.95,no_signal
390382159,13.619,3317.0,0.406007,6.48,3.05975,4181.5933,4699.6,0.72,8,3.04,0.35,-1.51,no_signal
466169924,12.4606,3525.0,0.407019,14.28,0.85001,4180.39614,1542.7,3.6,27,1.75,0.43,11.4,eclipsing_binary_secondary
238813187,12.187,3072.0,0.407027,16.31,0.52719,4180.17279,3930.7,1.44,41,2.79,0.29,-14.21,CANDIDATE
79019920,11.4962,3431.0,0.407186,3.81,12.49311,4179.56033,6362.3,1.44,2,3.55,0.0,-1.44,no_signal
409252956,13.6658,3377.0,0.407658,6.0,1.5869,4180.5846,12773.5,0.72,13,5.03,0.29,-1.2,no_signal
379510820,13.6324,3444.0,0.408861,7.02,3.33132,4180.24027,4747.9,0.72,8,3.08,0.62,0.06,no_signal
320843407,12.435,3412.0,0.409907,5.38,4.70792,4180.35134,1864.6,0.72,6,1.93,0.8,1.0,no_signal
389727431,11.8197,3397.0,0.409951,3.72,8.3252,4184.80183,2324.8,1.44,3,2.16,1.4,-0.05,no_signal
142350889,12.4666,3495.0,0.410145,5.87,0.81438,4180.3437,633.2,3.6,28,1.13,0.22,0.73,no_signal
49593683,13.4322,3435.0,0.410543,3.24,12.29529,4179.91066,68586.0,0.72,2,11.74,0.0,-0.49,no_signal
87610185,11.7176,3531.0,0.410646,7.06,2.40817,4180.75376,796.9,1.44,9,1.27,1.27,1.45,no_signal
281599562,12.7358,3575.0,0.410736,5.57,2.39317,4181.60003,1659.3,0.72,9,1.83,0.89,0.81,no_signal
469947256,12.9133,3507.0,0.41121,7.18,1.11158,4179.7243,1518.7,0.72,21,1.75,0.27,0.57,no_signal
16229246,13.952,3367.0,0.411214,4.03,6.53171,4185.03222,153364.0,0.72,1,17.59,0.0,-0.78,no_signal
146247923,10.6728,3499.0,0.411699,3.6,11.54871,4179.9397,3368.5,1.44,2,2.61,0.0,-0.33,no_signal
350223741,11.6235,3432.0,0.413064,3.1,6.4114,4184.89039,3522.4,3.6,3,2.68,5.61,0.99,no_signal
87610100,11.7214,3535.0,0.41399,5.85,4.48322,4182.13003,1672.1,0.72,5,1.85,0.36,0.3,no_signal
212648734,12.4461,3496.0,0.41422,4.34,6.53359,4185.03467,22988.1,0.72,2,6.86,1.79,-0.85,no_signal
246726188,13.7473,3441.0,0.41505,6.44,2.85287,4179.4995,4831.4,0.72,9,3.15,0.4,-0.57,no_signal
404830441,13.5944,3338.0,0.415157,5.03,10.27274,4182.50165,5345.1,2.38,2,3.31,0.0,-0.66,no_signal
75470298,13.8602,3429.0,0.415281,5.3,8.64927,4186.72499,7602.3,1.44,3,3.95,0.95,-0.04,no_signal
339210119,13.6689,3412.0,0.415282,3.48,11.52465,4181.47712,9924.7,1.44,2,4.52,0.0,1.4,no_signal
